option_id,option_type,option_label,option_name,required,min,max,placeholder,helptext,option_value,addon,swatch_value,paragraph,products
text-1,text,Text,Text,No,,,Enter your text...,,,,,,1858186903598
textarea-1,textarea,Long Text,Long Text,No,,,Enter your message...,,,,,,
number-1,number,Number,Number,No,,,Enter your number...,,,,,,
datetime-1,datetime,Datetime,Datetime,No,,,Please select date & time,"You can choose the date, limit, customize the date format",,,,,
file-1,file,File Upload,File Upload,No,,,,,,,,,
select-1,select,Select,Select,No,,,Please select,Click to display a dropdown list of options and only one option can be selected,select 1,,,,
select-1,,,,,,,,,select 2,,,,
radio-1,radio,Radio Button,Radio Button,No,,,,Radio button you can only choose one option,radio 1,,,,
radio-1,,,,,,,,,radio 2,,,,
checkbox-1,checkbox,Checkbox,Checkbox,No,,,,,checkbox 1,,,,
checkbox-1,,,,,,,,,checkbox 2,,,,
checkbox-1,,,,,,,,"Similar to radio buttons, but for checkboxes you can select multiple options",checkbox 3,,,,
buttons-1,buttons,Button,Button,No,,,,,button 1,,,,
buttons-1,,,,,,,,,button 2,,,,
color-swatches-1,color-swatches,Color Swatch,Color Swatch,No,,,,,red,,#FF0000,,
color-swatches-1,,,,,,,,,green,,#00FF00,,
color-swatches-1,,,,,,,,,blue,,#0000FF,,
image-swatches-1,image-swatches,Image Swatch,Image Swatch,No,,,,,image 1,,https://option.nyc3.digitaloceanspaces.com/files/16/image-swatches-1_1_1629336662689-1629338507.jpg,,
image-swatches-1,,,,,,,,,image 2,,https://option.nyc3.digitaloceanspaces.com/files/16/image-swatches-1_2_1629338497940-1629338511.jpg,,
image-swatches-1,,,,,,,,,image 3,,https://option.nyc3.digitaloceanspaces.com/files/16/image-swatches-1_3_1629338498457-1629338514.jpg,,
paragraph-1,paragraph,,,,,,,,,,,This is a paragraph,
